WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-07-24 15:07:48.055 (   0.000s) [        DBAE0480]      dylib_platform.cc:47       1| DylibPlatform::SubclassInitialize
2025-07-24 15:07:48.056 (   0.001s) [        DBAE0480]     client_instance.cc:38       1| ClientInstance::ClientInstance
2025-07-24 15:07:48.057 (   0.001s) [        DBAE0480]              client.cc:18       1| TTClientInstance::TTClientInstance
2025-07-24 15:07:48.057 (   0.001s) [        DBAE0480]     client_instance.cc:59       1| ClientInstance::Initialize
2025-07-24 15:07:51.937 (   3.881s) [        DBAE0480]              stubs.inc:112   WARN| STUB: PJRT_Client_TopologyDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]      error_instance.cc:49       1| ErrorInstance::PJRT_Error_Message
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]      error_instance.cc:58       1| ErrorInstance::PJRT_Error_GetCode
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]      error_instance.cc:43       1| ErrorInstance::PJRT_Error_Destroy
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     client_instance.cc:340      1| ClientInstance::PJRT_Client_PlatformVersion
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     client_instance.cc:320      1| ClientInstance::PJRT_Client_PlatformName
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     client_instance.cc:352      1| ClientInstance::PJRT_Client_Devices
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     client_instance.cc:365      1| ClientInstance::PJRT_Client_AddressableDevices
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     client_instance.cc:415      1| ClientInstance::PJRT_Client_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-24 15:07:51.937 (   3.882s) [        DBAE0480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
